node1,node2,sim_out,sim_in,sim_both,avg_del,avg_del_normed
1,2,0.587834,0.341651,26.106789,16.772420,0.177113
1,3,0.482453,0.337850,25.881443,15.657221,0.165337
1,4,0.419672,0.443320,35.501921,18.034901,0.190444
1,5,0.550275,0.552682,36.382594,25.324717,0.267423
1,6,0.362759,0.473800,40.493646,19.424356,0.205117
1,7,0.416278,0.488359,40.080772,21.739134,0.229560
1,8,0.246330,0.177287,14.283406,6.183641,0.065298
1,9,0.331725,0.476811,23.215766,23.595965,0.249168
1,10,0.282227,0.823387,35.341336,42.471258,0.448487
2,3,0.067416,0.057708,3.764961,2.352742,0.024844
2,4,0.308495,0.456006,29.312028,19.687849,0.207899
2,5,0.354994,0.518103,26.582230,15.352778,0.162122
2,6,0.306200,0.481670,35.350732,17.707851,0.186991
2,7,0.312870,0.524311,34.860805,23.030299,0.243195
2,8,0.321177,0.420001,25.401970,20.314415,0.214515
2,9,0.293830,0.426601,17.871040,12.223145,0.129074
2,10,0.264627,0.767517,28.949433,26.122007,0.275842
3,4,0.318315,0.436144,28.391289,18.147251,0.191631
3,5,0.381061,0.490338,25.835464,15.016793,0.158574
3,6,0.304697,0.459327,33.891469,16.389543,0.173070
3,7,0.319042,0.503180,33.601179,21.487908,0.226907
3,8,0.361286,0.405413,25.060951,18.846932,0.199019
3,9,0.333118,0.398505,17.585967,12.500844,0.132006
3,10,0.255305,0.759488,27.556757,27.081259,0.285972
4,5,0.230835,0.270903,16.066972,19.412576,0.204992
4,6,0.269082,0.329234,28.501939,13.284009,0.140276
4,7,0.298904,0.340911,27.497535,14.793261,0.156213
4,8,0.581169,0.450940,33.784189,19.068568,0.201360
4,9,0.550500,0.516166,27.704100,24.103102,0.254523
4,10,0.358311,0.844465,38.715325,36.016515,0.380326
5,6,0.280886,0.431961,32.208321,18.896231,0.199540
5,7,0.286972,0.480930,31.971199,24.465504,0.258350
5,8,0.434309,0.572638,34.716186,27.713169,0.292645
5,9,0.393460,0.495925,22.473397,11.405364,0.120438
5,10,0.337825,0.810224,34.737635,19.928474,0.210440
6,7,0.126278,0.114886,10.269009,8.213610,0.086734
6,8,0.744912,0.484700,39.941249,20.914088,0.220848
6,9,0.715405,0.528302,33.143060,20.635964,0.217911
6,10,0.419594,0.845857,41.795258,31.388696,0.331457
7,8,0.567390,0.494895,38.913463,22.860830,0.241405
7,9,0.533350,0.588259,33.208016,26.684892,0.281786
7,10,0.361358,0.874397,43.527841,37.762627,0.398764
8,9,0.206594,0.477593,22.477196,24.022000,0.253667
8,10,0.241344,0.837419,35.775588,41.996442,0.443473
9,10,0.226112,0.629699,21.500306,14.726303,0.155506
